Cuisine,Name,URL,Rating,Review Count,Price
Chinese,Shan Xi Magic Kitchen,https://www.yelp.com/biz/shan-xi-magic-kitchen-san-diego-2?osq=Chinese,4.2,2174,$$
Chinese,Eastern Dynasty,https://www.yelp.com/biz/eastern-dynasty-san-diego-2?osq=Chinese,4.4,488,$$
Chinese,Tasty Mandarin,https://www.yelp.com/biz/tasty-mandarin-chula-vista?osq=Chinese,4.6,480,$$
Chinese,Din Tai Fung,https://www.yelp.com/biz/din-tai-fung-san-diego-9?osq=Chinese,4.4,5907,$$$
Chinese,Wei Wei Asian Express - San Diego,https://www.yelp.com/biz/wei-wei-asian-express-san-diego-san-diego?osq=Chinese,4.4,1201,$$
Chinese,Taste of Hunan,https://www.yelp.com/biz/taste-of-hunan-san-diego?osq=Chinese,3.8,276,$$
Chinese,Golden Chopsticks,https://www.yelp.com/biz/golden-chopsticks-national-city?osq=Chinese,4.2,1334,$$
Chinese,Tasty Noodle House,https://www.yelp.com/biz/tasty-noodle-house-san-diego?osq=Chinese,3.9,1638,$$
Chinese,Taste of Hong Kong,https://www.yelp.com/biz/taste-of-hong-kong-san-diego-2?osq=Chinese,4.1,250,$$
Chinese,Minh Ky Restaurant,https://www.yelp.com/biz/minh-ky-restaurant-san-diego?osq=Chinese,4.2,1327,$$
Thai,Bahn Thai,https://www.yelp.com/biz/bahn-thai-san-diego?osq=Thai,4.5,3339,$$
Thai,Koon Thai Kitchen,https://www.yelp.com/biz/koon-thai-kitchen-san-diego?osq=Thai,4.0,2522,$$
Thai,Mekong Cuisine Lao and Thai,https://www.yelp.com/biz/mekong-cuisine-lao-and-thai-san-diego?osq=Thai,4.4,842,$$
Thai,The Pad Thai Stand,https://www.yelp.com/biz/the-pad-thai-stand-san-diego-2?osq=Thai,4.3,434,$$
Thai,Lanna Thai Cuisine,https://www.yelp.com/biz/lanna-thai-cuisine-san-diego-2?osq=Thai,4.3,1183,$$
Thai,Thai Pepper Cuisine,https://www.yelp.com/biz/thai-pepper-cuisine-san-diego-2?osq=Thai,4.4,1002,$$
Thai,Sukho Thai Extraordinaire,https://www.yelp.com/biz/sukho-thai-extraordinaire-san-diego?osq=Thai,4.5,564,$$
Thai,Sovereign Modern Thai Cuisine,https://www.yelp.com/biz/sovereign-modern-thai-cuisine-san-diego?osq=Thai,4.4,427,$$
