name,type,city,rating,reviews_count,price_range,link,categories,address,phone
Original Tommy’s,fast food,Los Angeles,4.0,1599,$$,https://www.yelp.com/biz/original-tommys-los-angeles-3?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Divey']",N/A,(213) 389-9060
In-N-Out Burger,fast food,Los Angeles,4.0,1932,$,https://www.yelp.com/biz/in-n-out-burger-hollywood?osq=fast+food,"['Fast Food', 'Burgers', 'Casual', 'Touristy']",N/A,(800) 786-1000
Wendy’s,fast food,Los Angeles,2.7,171,$,https://www.yelp.com/biz/wendys-los-angeles-14?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Touristy']",N/A,(323) 663-7387
Jollibee,fast food,Los Angeles,3.1,620,$$,https://www.yelp.com/biz/jollibee-los-angeles?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Casual', 'Hipster']",N/A,(323) 906-8617
Chick-fil-A,fast food,Los Angeles,3.3,964,$,https://www.yelp.com/biz/chick-fil-a-los-angeles-14?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Touristy']",N/A,(323) 533-1079
Howlin’ Ray’s,fast food,Los Angeles,4.7,7965,$$,https://www.yelp.com/biz/howlin-rays-los-angeles-7?osq=fast+food,"['Southern', 'Chicken Shop', 'American', 'Casual', 'Trendy']",N/A,(213) 935-8399
McDonald’s,fast food,Los Angeles,2.0,246,$,https://www.yelp.com/biz/mcdonalds-hollywood-19?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(323) 461-0863
Dino’s Famous Chicken,fast food,Los Angeles,4.1,2391,$$,https://www.yelp.com/biz/dinos-famous-chicken-los-angeles?osq=fast+food,"['Burgers', 'Mexican', 'Chicken Shop', 'Casual', 'Divey']",N/A,(213) 380-3554
Astro Burger,fast food,Los Angeles,4.0,945,$$,https://www.yelp.com/biz/astro-burger-west-hollywood-2?osq=fast+food,"['Burgers', 'American', 'Mexican', 'Casual', 'Divey']",N/A,(323) 874-8041
Irv’s Burgers,fast food,Los Angeles,4.3,433,$$,https://www.yelp.com/biz/irvs-burgers-los-angeles?osq=fast+food,"['Burgers', 'Sandwiches', 'American', 'Casual', 'Trendy']",N/A,(213) 329-8010
In-N-Out Burger,fast food,San Francisco,3.8,2101,$,https://www.yelp.com/biz/in-n-out-burger-san-francisco?osq=fast+food,"['Fast Food', 'Burgers', 'Casual', 'Touristy']",N/A,(800) 786-1000
Jack in the Box,fast food,San Francisco,2.7,217,$,https://www.yelp.com/biz/jack-in-the-box-san-francisco-3?osq=fast+food,"['Fast Food', 'Burgers', 'Tacos', 'Casual', 'Divey']",N/A,(415) 752-4916
McDonald’s,fast food,San Francisco,2.1,293,$,https://www.yelp.com/biz/mcdonalds-san-francisco-28?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Divey', 'Casual']",N/A,(415) 923-1138
McDonald’s,fast food,San Francisco,1.9,302,$,https://www.yelp.com/biz/mcdonalds-san-francisco-33?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Divey']",N/A,(415) 452-8819
Saigon Sandwich,fast food,San Francisco,4.4,3862,$,https://www.yelp.com/biz/saigon-sandwich-san-francisco?osq=fast+food,"['Vietnamese', 'Sandwiches', 'Casual', 'Divey']",N/A,(415) 474-5698
The Bird,fast food,San Francisco,4.2,2455,$$,https://www.yelp.com/biz/the-bird-san-francisco?osq=fast+food,"['Chicken Shop', 'Sandwiches', 'Casual', 'Trendy']",N/A,(415) 872-9825
Wingstop,fast food,San Francisco,3.1,35,N/A,https://www.yelp.com/biz/wingstop-san-francisco-5?osq=fast+food,"['Chicken Wings', 'Casual', 'Classy']",N/A,(415) 906-9403
McDonald’s,fast food,San Francisco,3.5,232,$,https://www.yelp.com/biz/mcdonalds-san-francisco-61?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Trendy']",N/A,(415) 362-1082
Mr. Charlie’s,fast food,San Francisco,4.1,290,$$,https://www.yelp.com/biz/mr-charlie-s-san-francisco?osq=fast+food,"['Burgers', 'Vegan', 'Casual', 'Trendy']",N/A,(415) 658-7239
Super Duper Burgers,fast food,San Francisco,4.0,1493,$$,https://www.yelp.com/biz/super-duper-burgers-san-francisco-4?osq=fast+food,"['Burgers', 'American', 'Casual', 'Trendy']",N/A,(415) 558-8123
California Burritos,fast food,San Diego,4.3,1296,$$,https://www.yelp.com/biz/california-burritos-san-diego?osq=fast+food,"['Mexican', 'Breakfast & Brunch', 'Burgers', 'Casual', 'Divey']",N/A,(858) 569-1600
Homestyle Hawaiian,fast food,San Diego,3.9,2220,$$,https://www.yelp.com/biz/homestyle-hawaiian-san-diego?osq=fast+food,"['Hawaiian', 'Salad', 'Seafood', 'Casual', 'Divey']",N/A,(858) 571-5828
The Melt,fast food,San Diego,4.4,732,$$,https://www.yelp.com/biz/the-melt-san-diego-2?osq=fast+food,"['Burgers', 'Sandwiches', 'Chicken Shop', 'Casual', 'Trendy']",N/A,(619) 356-7307
The Crack Shack,fast food,San Diego,4.1,5663,$$,https://www.yelp.com/biz/the-crack-shack-san-diego-2?osq=fast+food,"['New American', 'Sandwiches', 'Chicken Shop', 'Hipster', 'Casual']",N/A,(858) 667-6811
Vallarta Express Mexican Eatery,fast food,San Diego,3.8,1694,$$,https://www.yelp.com/biz/vallarta-express-mexican-eatery-san-diego?osq=fast+food,"['Mexican', 'Casual', 'Divey']",N/A,(858) 569-6945
Cluck N Sip,fast food,San Diego,4.3,340,$,https://www.yelp.com/biz/cluck-n-sip-san-diego-4?osq=fast+food,"['Fast Food', 'Chicken Wings', 'Casual', 'Trendy']",N/A,(858) 987-0488
Cali’s & Fries,fast food,San Diego,4.3,221,$$,https://www.yelp.com/biz/calis-and-fries-san-diego?osq=fast+food,"['Tacos', 'Casual', 'Divey']",N/A,(858) 279-7733
Humberto’s Taco Shop,fast food,San Diego,4.2,879,$$,https://www.yelp.com/biz/humbertos-taco-shop-san-diego-5?osq=fast+food,"['Mexican', 'Casual', 'Divey']",N/A,(619) 231-8433
Jack in the Box,fast food,San Diego,3.1,71,$,https://www.yelp.com/biz/jack-in-the-box-san-diego-2?osq=fast+food,"['Burgers', 'Fast Food', 'Tacos', 'Casual', 'Divey']",N/A,(858) 571-1671
Lolita’s Mexican Food,fast food,San Diego,3.8,2794,$$,https://www.yelp.com/biz/lolitas-mexican-food-san-diego-5?osq=fast+food,"['Mexican', 'Casual', 'Hipster']",N/A,(858) 874-7983
Chick-fil-A,fast food,Sacramento,3.6,593,$$,https://www.yelp.com/biz/chick-fil-a-sacramento-2?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Salad', 'Casual', 'Trendy']",N/A,(916) 922-2814
McDonald’s,fast food,Sacramento,1.9,120,$,https://www.yelp.com/biz/mcdonalds-sacramento-7?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Hipster']",N/A,(916) 456-2879
Wendy’s,fast food,Sacramento,1.8,149,$,https://www.yelp.com/biz/wendys-sacramento-7?osq=fast+food,"['Burgers', 'Fast Food', 'Casual', 'Touristy']",N/A,(916) 383-4140
Jollibee,fast food,Sacramento,2.8,573,$$,https://www.yelp.com/biz/jollibee-sacramento-6?osq=fast+food,"['Fast Food', 'Chicken Shop', 'Casual', 'Trendy']",N/A,(916) 399-6023
Raising Cane’s Chicken Fingers,fast food,Sacramento,2.9,88,N/A,https://www.yelp.com/biz/raising-canes-chicken-fingers-sacramento-2?osq=fast+food,"['Chicken Shop', 'Fast Food']",N/A,(916) 490-4587
McDonald’s,fast food,Sacramento,2.0,200,$,https://www.yelp.com/biz/mcdonalds-sacramento-14?osq=fast+food,"['Fast Food', 'Burgers', 'Coffee & Tea', 'Casual', 'Touristy']",N/A,(916) 457-2251
